Płeć,Kategoria wiekowa,5 km Czas,5 km Tempo,10 km Czas,10 km Tempo,15 km Czas,15 km Tempo,20 km Czas,20 km Tempo,Czas,Tempo,Wiek
M,M20,1030.0,3.433333333333333,2063.0,3.4433333333333334,3131.0,3.56,4263.0,3.773333333333333,4456.0,3.520581496405151,23.0
M,M30,1013.0,3.3766666666666665,2035.0,3.4066666666666667,3099.0,3.546666666666667,4250.0,3.8366666666666656,4462.0,3.5253219562297544,32.0
M,M20,1029.0,3.43,2063.0,3.4466666666666668,3131.0,3.56,4282.0,3.8366666666666656,4483.0,3.541913565615865,27.0
M,M30,1035.0,3.45,2063.0,3.4266666666666667,3133.0,3.566666666666667,4284.0,3.8366666666666656,4490.0,3.5474441020779017,32.0
M,M20,1035.0,3.45,2063.0,3.4266666666666667,3133.0,3.566666666666667,4290.0,3.856666666666667,4496.0,3.552184561902505,28.0
M,M30,1036.0,3.453333333333333,2064.0,3.4266666666666667,3134.0,3.566666666666667,4292.0,3.86,4505.0,3.5592952516394094,33.0
K,K20,1038.0,3.46,2077.0,3.4633333333333334,3163.0,3.62,4313.0,3.8333333333333335,4520.0,3.571146401200917,29.0
M,M30,1037.0,3.4566666666666666,2080.0,3.4766666666666666,3166.0,3.62,4320.0,3.8466666666666662,4533.0,3.5814173974875563,34.0
M,M30,1013.0,3.3766666666666665,2035.0,3.4066666666666667,3133.0,3.66,4326.0,3.9766666666666666,4539.0,3.5861578573121595,40.0
M,M40,1037.0,3.4566666666666666,2080.0,3.4766666666666666,3153.0,3.5766666666666667,4338.0,3.95,4550.0,3.594848700323932,43.0
M,M40,1039.0,3.4633333333333334,2079.0,3.466666666666667,3166.0,3.6233333333333335,4338.0,3.9066666666666663,4561.0,3.603539543335704,50.0
M,M40,1039.0,3.4633333333333334,2078.0,3.4633333333333334,3166.0,3.6266666666666665,4359.0,3.9766666666666666,4575.0,3.6146006162597777,46.0
M,M30,1062.0,3.54,2119.0,3.523333333333333,3213.0,3.646666666666667,4372.0,3.8633333333333337,4578.0,3.616970846172079,34.0
M,M30,1035.0,3.45,2062.0,3.4233333333333333,3167.0,3.683333333333333,4363.0,3.9866666666666655,4580.0,3.6185509994469465,32.0
K,K30,1038.0,3.46,2080.0,3.4733333333333336,3188.0,3.693333333333333,4391.0,4.01,4614.0,3.645413605119697,39.0
M,M40,1038.0,3.46,2080.0,3.4733333333333336,3187.0,3.69,4391.0,4.013333333333334,4616.0,3.6469937583945646,43.0
M,M30,1037.0,3.4566666666666666,2089.0,3.506666666666667,3212.0,3.743333333333333,4407.0,3.983333333333333,4623.0,3.6525242948566015,31.0
M,M20,1100.0,3.6666666666666665,2171.0,3.57,3270.0,3.6633333333333336,4420.0,3.8333333333333335,4626.0,3.654894524768903,26.0
M,M30,1035.0,3.45,2091.0,3.52,3213.0,3.74,4427.0,4.046666666666667,4643.0,3.668325827605278,33.0
M,M40,1094.0,3.646666666666667,2168.0,3.58,3283.0,3.716666666666667,4466.0,3.943333333333333,4680.0,3.6975586631903297,48.0
M,M50,1071.0,3.57,2142.0,3.57,3260.0,3.7266666666666666,4477.0,4.056666666666667,4698.0,3.7117800426641385,54.0
M,M30,1093.0,3.643333333333333,2171.0,3.5933333333333333,3285.0,3.713333333333333,4493.0,4.026666666666666,4709.0,3.720470885675911,36.0
M,M30,1071.0,3.57,2144.0,3.5766666666666667,3260.0,3.72,4492.0,4.1066666666666665,4725.0,3.733112111874852,32.0
M,M20,1095.0,3.65,2180.0,3.6166666666666663,3314.0,3.78,4513.0,3.996666666666667,4735.0,3.741012878249191,29.0
M,M40,1039.0,3.4633333333333334,2125.0,3.62,3282.0,3.856666666666667,4540.0,4.193333333333333,4765.0,3.764715177372205,45.0
M,M30,1105.0,3.683333333333333,2203.0,3.66,3344.0,3.803333333333333,4568.0,4.08,4786.0,3.781306786758316,35.0
M,M40,1101.0,3.67,2191.0,3.633333333333333,3343.0,3.84,4576.0,4.11,4790.0,3.7844670933080513,46.0
M,M30,1092.0,3.64,2192.0,3.6666666666666665,3342.0,3.8333333333333335,4573.0,4.1033333333333335,4794.0,3.787627399857786,35.0
M,M30,1148.0,3.826666666666666,2258.0,3.7,3394.0,3.786666666666666,4594.0,4.0,4796.0,3.789207553132654,33.0
M,M30,1102.0,3.673333333333333,2194.0,3.64,3338.0,3.8133333333333335,4578.0,4.133333333333334,4799.0,3.791577783044956,38.0
M,M30,1127.0,3.756666666666667,2217.0,3.633333333333333,3365.0,3.826666666666666,4593.0,4.093333333333333,4816.0,3.8050090858813306,40.0
M,M30,1102.0,3.673333333333333,2174.0,3.5733333333333333,3322.0,3.826666666666666,4587.0,4.216666666666667,4817.0,3.8057991625187646,36.0
M,M40,1147.0,3.823333333333333,2245.0,3.66,3389.0,3.8133333333333335,4610.0,4.069999999999999,4825.0,3.812119775618235,42.0
M,M30,1036.0,3.453333333333333,2068.0,3.44,3211.0,3.81,4569.0,4.526666666666667,4834.0,3.81923046535514,37.0
M,M20,1101.0,3.67,2196.0,3.65,3339.0,3.81,4602.0,4.21,4834.0,3.81923046535514,23.0
M,M30,1072.0,3.5733333333333333,2170.0,3.66,3328.0,3.86,4596.0,4.226666666666667,4836.0,3.820810618630007,33.0
M,M30,1062.0,3.54,2160.0,3.66,3326.0,3.8866666666666654,4612.0,4.286666666666666,4836.0,3.820810618630007,37.0
K,K30,1072.0,3.5733333333333333,2170.0,3.66,3328.0,3.86,4604.0,4.253333333333333,4840.0,3.823970925179743,34.0
M,M40,1124.0,3.746666666666667,2227.0,3.6766666666666663,3384.0,3.856666666666667,4613.0,4.096666666666667,4841.0,3.8247610018171767,46.0
M,M40,1124.0,3.746666666666667,2245.0,3.7366666666666655,3404.0,3.8633333333333337,4622.0,4.06,4844.0,3.8271312317294783,44.0
M,M30,1128.0,3.76,2235.0,3.69,3378.0,3.81,4621.0,4.1433333333333335,4851.0,3.8326617681915143,36.0
M,M40,1093.0,3.643333333333333,2176.0,3.61,3327.0,3.8366666666666656,4612.0,4.283333333333333,4852.0,3.8334518448289487,45.0
M,M40,1107.0,3.69,2223.0,3.72,3381.0,3.86,4635.0,4.180000000000001,4858.0,3.838192304653552,44.0
M,M20,1129.0,3.7633333333333336,2243.0,3.713333333333333,3403.0,3.8666666666666663,4645.0,4.14,4861.0,3.840562534565853,30.0
M,M30,1094.0,3.646666666666667,2178.0,3.6133333333333337,3334.0,3.853333333333333,4630.0,4.319999999999999,4865.0,3.843722841115589,34.0
M,M40,1134.0,3.78,2241.0,3.69,3400.0,3.8633333333333337,4642.0,4.14,4865.0,3.843722841115589,50.0
M,M20,1128.0,3.76,2237.0,3.6966666666666663,3401.0,3.88,4644.0,4.1433333333333335,4869.0,3.846883147665324,24.0
M,M40,1135.0,3.783333333333333,2263.0,3.76,3415.0,3.84,4641.0,4.086666666666667,4872.0,3.849253377577625,50.0
M,M40,1094.0,3.646666666666667,2187.0,3.643333333333333,3350.0,3.8766666666666665,4643.0,4.3100000000000005,4877.0,3.8532037607647935,50.0
M,M40,1103.0,3.6766666666666663,2211.0,3.693333333333333,3371.0,3.8666666666666663,4647.0,4.253333333333333,4878.0,3.853993837402229,41.0
M,M40,1160.0,3.8666666666666663,2286.0,3.753333333333333,3429.0,3.81,4653.0,4.08,4878.0,3.853993837402229,45.0
M,M30,1105.0,3.683333333333333,2213.0,3.693333333333333,3374.0,3.87,4648.0,4.246666666666667,4881.0,3.8563640673145296,32.0
M,M40,1134.0,3.78,2251.0,3.7233333333333336,3410.0,3.8633333333333337,4653.0,4.1433333333333335,4883.0,3.857944220589397,50.0
M,M40,1119.0,3.73,2243.0,3.746666666666667,3405.0,3.8733333333333335,4654.0,4.163333333333333,4887.0,3.861104527139133,45.0
M,M30,1124.0,3.746666666666667,2233.0,3.6966666666666663,3386.0,3.843333333333333,4657.0,4.236666666666666,4889.0,3.862684680414001,32.0
M,M20,1127.0,3.756666666666667,2236.0,3.6966666666666663,3402.0,3.8866666666666654,4654.0,4.173333333333334,4889.0,3.862684680414001,23.0
M,M20,1130.0,3.7666666666666666,2253.0,3.743333333333333,3418.0,3.883333333333333,4667.0,4.163333333333333,4890.0,3.863474757051434,24.0
M,M40,1061.0,3.536666666666666,2149.0,3.6266666666666665,3308.0,3.8633333333333337,4649.0,4.47,4891.0,3.864264833688868,46.0
M,M20,1097.0,3.6566666666666663,2208.0,3.703333333333333,3384.0,3.92,4658.0,4.246666666666667,4895.0,3.8674251402386033,21.0
M,M30,1132.0,3.773333333333333,2261.0,3.7633333333333336,3420.0,3.8633333333333337,4669.0,4.163333333333333,4898.0,3.869795370150905,39.0
M,M20,1126.0,3.753333333333333,2235.0,3.6966666666666663,3400.0,3.883333333333333,4662.0,4.206666666666667,4904.0,3.874535829975508,28.0
M,M20,1158.0,3.86,2310.0,3.84,3476.0,3.8866666666666654,4691.0,4.05,4905.0,3.8753259066129417,29.0
M,M40,1147.0,3.823333333333333,2275.0,3.76,3442.0,3.89,4684.0,4.14,4912.0,3.880856443074978,44.0
M,M30,1118.0,3.7266666666666666,2227.0,3.6966666666666663,3405.0,3.9266666666666663,4684.0,4.263333333333334,4912.0,3.880856443074978,31.0
M,M30,1072.0,3.5733333333333333,2190.0,3.7266666666666666,3366.0,3.92,4675.0,4.363333333333333,4914.0,3.882436596349846,34.0
M,M30,1132.0,3.773333333333333,2260.0,3.76,3438.0,3.9266666666666663,4698.0,4.2,4920.0,3.8871770561744494,40.0
M,M40,1168.0,3.893333333333333,2320.0,3.84,3487.0,3.89,4701.0,4.046666666666667,4921.0,3.887967132811883,46.0
M,M40,1156.0,3.853333333333333,2302.0,3.82,3475.0,3.91,4701.0,4.086666666666667,4925.0,3.891127439361618,48.0
M,M30,1124.0,3.746666666666667,2245.0,3.7366666666666655,3418.0,3.91,4702.0,4.28,4926.0,3.891917515999052,34.0
M,M20,1124.0,3.746666666666667,2242.0,3.7266666666666666,3408.0,3.8866666666666654,4700.0,4.306666666666667,4938.0,3.9013984356482574,23.0
M,M30,1131.0,3.77,2266.0,3.783333333333333,3444.0,3.9266666666666663,4707.0,4.21,4942.0,3.9045587421979935,36.0
M,M40,1143.0,3.81,2280.0,3.79,3457.0,3.923333333333333,4715.0,4.193333333333333,4946.0,3.9077190487477287,42.0
M,M30,1147.0,3.823333333333333,2277.0,3.7666666666666666,3445.0,3.893333333333333,4726.0,4.27,4952.0,3.912459508572332,40.0
M,M30,1139.0,3.796666666666667,2269.0,3.7666666666666666,3443.0,3.9133333333333336,4724.0,4.27,4959.0,3.917990045034368,38.0
M,M20,1134.0,3.78,2270.0,3.786666666666666,3465.0,3.983333333333333,4752.0,4.29,4972.0,3.928261041321008,22.0
